Year,System,Produkt,Rezeptur,Soll,Leistung,Runtime_hours,Setup_min_time_before,Order_rank,Start,Ende,Min,Datum,Tag,FilePath
2021,H2,KK 100G Ghana 81%,A-938,22.1,3596.00444,0.006146,58.98333333333327,4,12:28,18:39,15,09.11.,Di,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 45 Version 2.xlsx
2021,H2,100G Karamell-Mousse,A-2110,25.3,3306.122449,0.007652,117.41666666666659,7,03:22,11:06,20,10.11.,Mi,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 45 Version 2.xlsx
2021,H3,100G Halbbitter,A-20,38.2,4396.200814,0.008689,93.89999999999995,5,09:07,17:53,34,10.11.,Mi,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 45 Version 2.xlsx
2021,H2,100G Weisse Mango Maracuja,A-217,26.2,,,,,22:00,05:34,20,22.11.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 47 Version 1.xlsx
2021,H3,100G Nugat,A-26,66.3,3326.488706,0.019931,50.683333333333394,2,22:00,13:13,56,22.11.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 47 Version 1.xlsx
2021,H3,100G Joghurt,A-27,25.1,4396.200814,0.005709,75.46666666666665,3,13:58,19:44,20,22.11.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 47 Version 1.xlsx
2021,H2,100G Waffel,A-220,30.0,3306.122449,0.009074,123.46666666666663,,22:22,07:42,24,29.11.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 48 Version 1.xlsx
2021,H3,100G Kakao-Mousse,A-294,52.197219,4039.900249,0.01292,26.416666666666657,1,22:00,11:03,42,29.11.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 48 Version 1.xlsx
2021,H2,100G Waffel,A-220,30.1,3306.122449,0.009104,123.46666666666663,,22:00,07:11,24,29.11.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 48 Version 2.xlsx
2021,H3,100G Joghurt,A-27,25.074507,4396.200814,0.005704,75.46666666666665,3,00:18,06:03,20,30.11.,Di,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 48 Version 2.xlsx
2021,H3,100G Halbbitter,A-20,43.784755,4396.200814,0.00996,93.89999999999995,5,07:33,17:36,34,30.11.,Di,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 48 Version 2.xlsx
2021,H2,250G Weiss + Crisp,A-611,12.589259,,,,,07:05,11:12,8,30.11.,Di,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 48 Version 2.xlsx
2021,H2,250G Cranberry Nuss,A-624,12.317232,,,,,12:57,17:27,8,30.11.,Di,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 48 Version 2.xlsx
2021,H2,250G Alpenmilch,A-603,25.382,2916.291629,0.008704,69.11666666666667,13,03:01,11:47,20,01.12.,Mi,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 48 Version 2.xlsx
2021,H2,100G Waffel,A-220,30.1,3306.122449,0.009104,123.46666666666663,,22:00,07:11,24,29.11.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 48 Version 2.xlsx
2021,H3,100G Joghurt,A-27,25.074507,4396.200814,0.005704,75.46666666666665,3,00:18,06:03,20,30.11.,Di,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 48 Version 2.xlsx
2021,H3,100G Halbbitter,A-20,43.784755,4396.200814,0.00996,93.89999999999995,5,07:33,17:36,34,30.11.,Di,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 48 Version 2.xlsx
2021,H2,250G Weiss + Crisp,A-611,12.589259,,,,,07:05,11:12,8,30.11.,Di,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 48 Version 2.xlsx
2021,H2,250G Cranberry Nuss,A-624,12.317232,,,,,12:57,17:27,8,30.11.,Di,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 48 Version 2.xlsx
2021,H2,250G Alpenmilch,A-603,25.382,2916.291629,0.008704,69.11666666666667,13,03:01,11:47,20,01.12.,Mi,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 48 Version 2.xlsx
2021,H2,100G Weisse Mango Maracuja,A-217,33.136,,,,,22:00,07:34,30,06.12.,Mo,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 49 Version 1.xlsx
