Tag,Datum,Start,Ende,Min,Soll,Rezeptur,Produkt,System,Year,FilePath
Mo,15.02.,07:02,12:53,22,25.5,A-20,100G Halbbitter,H3,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 07 Version 1.xlsx
Mo,22.02.,22:00,05:46,20,24,A-214,100G Knusperkeks,H2,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 08 Version 1.xlsx
Mo,22.02.,22:00,09:06,40,44.4,A-294,100G Kakao-Mousse,H3,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 08 Version 1.xlsx
Mo,22.02.,07:16,19:32,32,33.9,A-934,100G Haferkeks + Joghurt,H2,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 08 Version 1.xlsx
Mo,22.02.,10:36,21:43,40,44.4,A-28,100G Pfefferminz,H3,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 08 Version 1.xlsx
Mo,01.03.,22:00,06:46,30,35.1,A-28,100G Pfefferminz,H3,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 09 Version 1.xlsx
Mo,01.03.,07:46,18:48,38,48.1,A-20,100G Halbbitter,H3,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 09 Version 1.xlsx
Mo,15.03.,22:00,05:04,20,28.3,A-28,100G Pfefferminz,H3,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 11 Version 1.xlsx
Mo,15.03.,06:04,11:48,22,25,A-20,100G Halbbitter,H3,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 11 Version 1.xlsx
Mo,22.03.,22:00,06:03,28,32.2,A-294,100G Kakao-Mousse,H3,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 12 Version 1.xlsx
Mo,22.03.,07:33,21:05,44,54.10000000000001,A-28,100G Pfefferminz,H3,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 12 Version 1.xlsx
Mo,29.03.,22:00,07:32,30,38.1,A-28,100G Pfefferminz,H3,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 13 Version 1.xlsx
Mo,29.03.,08:32,17:44,30,40.1,A-20,100G Halbbitter,H3,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 13 Version 1.xlsx
Di,06.04.,22:00,14:56,42,52.3,A-214,100G Knusperkeks,H2,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 14 Version 1.xlsx
Di,06.04.,22:00,07:04,32,36.3,A-294,100G Kakao-Mousse,H3,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 14 Version 1.xlsx
Di,06.04.,08:34,14:53,20,25.3,A-28,100G Pfefferminz,H3,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 14 Version 1.xlsx
Di,06.04.,15:53,22:00,20,26.62176165803109,A-20,100G Halbbitter(*),H3,2021,/mnt/c/Users/abhoir01/Documents/doc_BA/data/2021/H2H3/WP_H2+H3_KW 14 Version 1.xlsx
